time,level_high,level_low,anomaly
2022-03-16 04:01:00+00:00,0.2942126945598277,0.2940225995578193,0
2022-03-16 04:02:00+00:00,0.2942126945598277,0.2940225995578193,0
2022-03-16 04:03:00+00:00,0.2936612239715924,0.293471128969584,0
2022-03-16 04:04:00+00:00,0.2934774004421806,0.29328730544017223,0
2022-03-16 04:05:00+00:00,0.2933854886774747,0.2931953936754663,0
2022-03-16 04:06:00+00:00,0.2933303416186512,0.2931402466166428,0
2022-03-16 04:07:00+00:00,0.2930791161284551,0.2928890211264467,0
2022-03-16 04:08:00+00:00,0.29289966934974365,0.29270957434773526,0
2022-03-16 04:09:00+00:00,0.29276508426571,0.2925749892637016,0
2022-03-16 04:10:00+00:00,0.29266040697812834,0.29247031197611995,0
2022-03-16 04:11:00+00:00,0.29257666514806296,0.29238657014605457,0
2022-03-16 04:12:00+00:00,0.29240788172560306,0.29221778672359466,0
2022-03-16 04:13:00+00:00,0.29357569132813593,0.290768671416962,0
2022-03-16 04:14:00+00:00,0.29391574038645923,0.29019059445516965,0
2022-03-16 04:15:00+00:00,0.29407682878348373,0.289825482140886,0
2022-03-16 04:16:00+00:00,0.2946592579408989,0.2888946636277285,0
2022-03-16 04:17:00+00:00,0.29495798388788963,0.2882910969944633,0
2022-03-16 04:18:00+00:00,0.2951225653910088,0.28785753841521955,0
2022-03-16 04:19:00+00:00,0.2952101522573807,0.28753086081451473,0
2022-03-16 04:20:00+00:00,0.29524947048053035,0.28727761930275136,0
2022-03-16 04:21:00+00:00,0.29525699670346106,0.2870775621200683,0
2022-03-16 04:22:00+00:00,0.2954534556891361,0.28660186643971536,0
2022-03-16 04:23:00+00:00,0.29557585908825523,0.28622561149997994,0
2022-03-16 04:24:00+00:00,0.2956483694486513,0.2859213236459777,0
2022-03-16 04:25:00+00:00,0.2956858324077988,0.2856713979843579,0
2022-03-16 04:26:00+00:00,0.29569799170730665,0.28546377299857556,0
2022-03-16 04:27:00+00:00,0.29585838194413633,0.28503811126853323,0
2022-03-16 04:28:00+00:00,0.295966598649524,0.28468427281017084,0
2022-03-16 04:29:00+00:00,0.29603666140490986,0.2843861327127371,0
2022-03-16 04:30:00+00:00,0.296078090007066,0.28413235624039845,0
2022-03-16 04:31:00+00:00,0.296280583533353,0.2836458870548822,0
2022-03-16 04:33:00+00:00,0.29642734875292864,0.28323346718635023,0
2022-03-16 04:34:00+00:00,0.2965321963499724,0.2828795683559099,0
2022-03-16 04:35:00+00:00,0.2966047337072989,0.28257307377933205,0
2022-03-16 04:36:00+00:00,0.29679284483207335,0.28209988873194036,0
2022-03-16 04:37:00+00:00,0.29693392700728544,0.28169002257254633,0
2022-03-16 04:38:00+00:00,0.2970383124373577,0.2813317856018579,0
2022-03-16 04:39:00+00:00,0.2971135321554363,0.2810164360480612,0
2022-03-16 04:40:00+00:00,0.29716524434448377,0.2807372324357019,0
2022-03-16 04:41:00+00:00,0.29719780150447683,0.2804888500792335,0
2022-03-16 04:42:00+00:00,0.29734361537453863,0.28007366403722606,0
2022-03-16 04:43:00+00:00,0.297456237491009,0.27970480985475854,0
2022-03-16 04:44:00+00:00,0.2975417738511318,0.2793752429555909,0
2022-03-16 04:45:00+00:00,0.29760495130302056,0.27907938522228726,0
2022-03-16 04:46:00+00:00,0.29775428379627034,0.27865781513421095,0
2022-03-16 04:47:00+00:00,0.2978726350174698,0.27827932576684394,0
2022-03-16 04:48:00+00:00,0.29796526388217676,0.27793786911015067,0
2022-03-16 04:49:00+00:00,0.2980363242309052,0.27762856938611613,0
2022-03-16 04:50:00+00:00,0.29808915265835784,0.2773474282239951,0
2022-03-16 04:51:00+00:00,0.29821773723720457,0.2769548317904065,0
2022-03-16 04:52:00+00:00,0.29832119547545477,0.27659792217160406,0
2022-03-16 04:53:00+00:00,0.2984033274612394,0.27627227807509286,0
2022-03-16 04:54:00+00:00,0.29846722478469945,0.27597423449131875,0
2022-03-16 04:55:00+00:00,0.29851543474592884,0.2757007139777116,0
2022-03-16 04:56:00+00:00,0.29864679147527834,0.275304733579188,0
2022-03-16 04:57:00+00:00,0.29875488982923576,0.2749416342349355,0
2022-03-16 04:58:00+00:00,0.29884296456830217,0.2746076656837988,0
2022-03-16 04:59:00+00:00,0.29891369149857966,0.2742996727945061,0
2022-03-16 05:00:00+00:00,0.29904896585378143,0.27389728161072174,0
2022-03-16 05:01:00+00:00,0.29908733105470553,0.2736382422254541,0
2022-03-16 05:02:00+00:00,0.2991855154081433,0.27328997478793515,0
2022-03-16 05:03:00+00:00,0.2992663743195756,0.2729672322378015,0
2022-03-16 05:04:00+00:00,0.29933202650644003,0.2726674991102583,0
2022-03-16 05:05:00+00:00,0.29938427399152917,0.27238860182546426,0
2022-03-16 05:06:00+00:00,0.29942466115393634,0.27212864766959305,0
2022-03-16 05:07:00+00:00,0.2995324598158273,0.2717684451615482,0
2022-03-16 05:08:00+00:00,0.2996232833403834,0.2714328663922369,0
2022-03-16 05:09:00+00:00,0.29969908126243133,0.27111961935214285,0
2022-03-16 05:10:00+00:00,0.2997615262041046,0.270826709090013,0
2022-03-16 05:11:00+00:00,0.29981206330038906,0.2705523868274881,0
2022-03-16 05:12:00+00:00,0.2998519488935878,0.27029510992994155,0
2022-03-16 05:13:00+00:00,0.2998822812282642,0.2700535099896313,0
2022-03-16 05:14:00+00:00,0.29996164800290875,0.2697381068990519,0
2022-03-16 05:15:00+00:00,0.30002832407377134,0.2694418612606363,0
2022-03-16 05:16:00+00:00,0.300083599778134,0.2691632205716274,0
